biotipológico	tipológico
sobiar	trinar
desentupir	desimpedir
acogular	encher
bandagem	ligatura
avizinhado	apropinguado
contra	desfavoravelmente
casado	harmonizado
vigiar	zelar
avultante	avultoso
timbrar	ufanar-se
traspassação	traspassamento
tecto	telhado
pedir	vindicar
intestinos	tripas
empréstimo	mútuo
abobarrado	tarouco
úbere	ubertoso
reconstrução	restauro
duplicador	duplicante
cerco	cinto
aceito	aprovado
acriançar-se	ameninar-se
reforço	revestimento
ginástica	exercitação
cume	cúmulo
hediondeza	horribilidade
soalheiro	soalho
partir	romper
intranqüilizar-se	perturbar-se
carenar	querenar
varar	zurzir
quiquiriqui	trica
podoa	podadeira
lorpa	palúrdio
estêncil	matriz
nebulosidade	obscuridade
arregaçar	arremangar
derivado	procedente
perenal	perpétuo
incensador	louvaminho
prazer	satisfação
reverendo	tonsurado
reaproximar	reunir
acarpetado	carpetado
desenfurnar	destocar
atochado	comprimido
ceramista	tijoleiro
cegueira	fanatismo
prataria	argentaria
exalçamento	sublimação
urna	féretro
debuxar-se	representar-se
encravado	enterrado
pascer-se	vadiar
dominar-se	vencer-se
labirinto	dédalo
faustuoso	soberbo
corruptor	corrutor
emulsionar	emulsificar
afundar-se	desaparecer-se
embretar	sitiar
estratificar	encamar
zebueiro	zebuzeiro
admirativo	exclamatório
deslizamento	resvaladura
garridice	tafularia
mofoso	mofento
envolvência	hipnotização
argumentante	argumentador
torrefato	torrificado
ceifa	segadura
bem-agradecido	grato
desajuda	desamparo
escurentar	turvar-se
descasalado	desacasalado
pretensiosamente	presunçosamente
dilacerar-se	moer-se
conquífero	conchífero
ressurtir	sair
controlado	parcimonioso
porta-jóias	guarda-jóias
rabisco	garrancho
erupção	golfada
adjeto	conjunto
consolo	refresco
domesticação	amestramento
capuchinho	barbono
premeditação	preparação
aborrecível	ominoso
corroboração	validação
dissuasório	dissuasivo
heptadátilo	heptadáctilo
perturbado	torvado
sensualização	erotização
trincado	fendido
ocultar-se	transpor-se
murmúreo	murmuroso
tanchoeira	tanchão
unilateralismo	unilateralidade
apressadamente	rapidamente
filiar-se	ser
barretada	salame
umectativo	umectante
campo-santo	necrópole
desvelar	elucidar
aberrante	extravagante
esgalha	esgalho
coralígero	coralífero
extensamente	longamente
bugiganga	quinquilharia
insensibilizar	obdurar
cenobita	monge
estranhável	repreensível
arrolamento	levantamento
verbal	vocal
predominar	primar
coser	unir
lubricar	untar
imaturidade	verdor
reducente	redutor
extirpar	jugular
áulico	cortesão
lambujem	lambiscaria
deslindar	lindar
arrojar-se	atrever-se
purificativo	purgativo
desmoronado	talado
estabanado	imprudente
derrengar	esquadrilhar
corrosão	desgaste
repicagem	repique
aparatar	ornamentar
anegrado	negrusco
poldro	potro
cultismo	culteranismo
implorado	postulado
floreiro	florista
cremação	ustão
sáfara	fraga
erroneamente	incorretamente
piloso	verçudo
cortar-se	desviar-se
transpirar	tressuar
tostadura	esturro
prolonga	prolongação
czarismo	tzarismo
averiguador	investigador
transmontar	trasmontar
infância	meninez
intervocal	intervocálico
declinação	declínio
coetâneo	coevo
encobrimento	recolhimento
instigar	levar
escarnecer	pagodear
comível	vesco
miniatura	abreviatura
estragado	fétido
carioso	cariado
encandear	ofuscar
ilustrar	ornar
tabelional	tabelionar
encalmado	encalorado
trêfego	treloso
estertorar	vasquejar
amacacado	macacal
apupada	assoviada
ensalmoirado	ensalmourado
adiamento	transferência
fanfarrice	farfalhice
encoivarar	coivarar
implicância	quizila
desoxidar-se	desenferrujar-se
manga	mangueira
patinagem	patinação
ardoroso	furioso
infundiça	infundice
morboso	morbífico
querer	vontade
monteiro	montaraz
revitalização	revigoramento
consultador	consultante
setear	supliciar
focalizar	marchetar
afustuado	afustado
desensolvar	desassolvar
macicez	solidez
magrela	magricela
santeiro	santério
sofrivelmente	suportavelmente
completível	abrangível
declinante	minguante
xale	xalemanta
lubrificante	lubrificador
extorsionário	extorsivo
corretora	terceira
excomungado	execrado
vazamento	vazão
expender	gastar
existir	ser
grasnir	grasnar
venalizar	seduzir
excreção	expulsão
encarrilar	encarrilhar
refestelar-se	satisfazer-se
desmiolado	esmiolado
estupeficante	estupeficador
esburgar	escascar
austeridade	rudeza
benzer-se	persignar-se
desaplaudir	improvar
referendar	verificar
forragear	procurar
relato	relatório
talude	escarpamento
eurritmia	simetria
desenganado	desiludido
ababalhar	espumar
sepulto	enterrado
dicção	dição
generalização	universalização
esmerilador	esmerilhador
absortivo	absorvível
vivificador	vivificativo
eunuco	semíviro
acidade	acidez
borboleteador	borboleteante
dentado	mordido
refutável	confutável
desenroscar	destorcer
característica	particularidade
abditório	burra
sacanice	safadice
plicar	vincar
barracento	barroso
contristar-se	engoiar-se
astreado	estelígero
malvado	nefando
divisado	estremado
tanoeiro	toneleiro
contendedor	emulador
empalhar	empalheirar
historiúncula	historieta
quentura	acu
doméstica	serviçal
cingir	coagir
impetar	pinçar
sensitiva	vergonhosa
fomentação	sustentação
borrifado	respingado
fitar	olhar
desjeitoso	estavanado
sinistramente	tragicamente
eletrógeno	electrogêneo
sobremaneira	sobremodo
falha	imperfeição
incontroverso	incontrovertido
abobadar	arquear
sutambaque	robissão
tiguera	tigüera
engolfar	mergulhar
arqueio	arqueação
farpa	lasca
puxadoira	puxadoura
parlamento	congresso
tapador	tapadura
positivar	ratificar
peleja	prélio
doer	penalizar
esplendoroso	sublime
anovelado	enrolado
desencruar	enternecer
custar	estar
estilhaçar-se	hastilhar-se
floreira	porta-flores
tretas	patranha
articular-se	unir-se
descolocado	desocupado
exabundante	sobrepujante
remoinho	tragadoiro
amoderar	reger
estigmar	notar
presbiteriano	reformado
negregado	malsorteado
malconceituado	malvisto
garotagem	pequenada
ajustar	conluiar
taxonomia	taxionomia
facúndia	magniloqüência
foguete-do-ar	rojão
cabine	provador
aleijar-se	penar-se
prenunciação	prognóstico
liceano	liceal
argüível	acusável
efervescência	fervura
olhar	saber
onzeneirar	zarelhar
esborcelar	esbrucinar
alcácer	castelo
ultra-rápido	ultraveloz
sarmento	vergôntea
estreito	garganta
premer	premir
mascavo	mascavado
comunicação	diálogo
vitimário	sacrificante
filtragem	peneiração
marejar	porejar
retratação	retrato
anotação	verbete
biombo	tabique
bamboleio	boleamento
oferecido	ofertado
esmaltagem	laqueação
rapinhar	tirar
mouta	touça
inesgotável	inexaurível
espanado	espanejado
engajamento	recrutamento
chovediço	pluvial
través	viés
superexcitar	sobreexcitar
honestizar	nobilitar
chanura	plano
pruir	velicar
repartideira	repartidor
ensebado	sebento
corcovar-se	envergar-se
gratuidade	gratuitidade
besunto	lambuzadela
dolente	magoado
abastamento	abastança
escanado	maduro
impermear	impermeabilizar
perlar	perolizar
especializar-se	individuar-se
rancor	ressentimento
desmesura	indelicadeza
condicional	reserva
baixar	cortar
ressumante	gotejante
página	lauda
toro	tora
garrido	pimpão
inatacabilidade	invunerabilidade
defeituoso	malfeito
arrenegação	traição
pontual	religioso
descoimado	desacoimado
licorne	monoceronte
louçanear	trombetear
sina	sorte
liquidante	terminativo
antiiberista	antiibérico
maleta	malote
sultânico	sultanesco
suicidar-se	matar-se
pragmatismo	pragmaticismo
inseparabilidade	indivisibilidade
bajoujo	parvo
respançadura	respançamento
colher	lograr
beneplácito	prazimento
arraiado	rajado
malformação	desfiguração
intato	invulnerado
ostentosamente	pomposamente
convívio	união
maridado	afamiliado
bimbalhada	badaladal
desunível	separável
acre	agro
provento	vantagem
exasperar	picar
perpetrar	praticar
prendado	dotado
casalar	irmanar
fino	gracioso
coincidência	sobreposição
alheabilidade	alienabilidade
conteúdo	contido
interpelar	apostrofar
alimária	animália
desilusionado	desiludido
jazigo	sepulcro
autopropulsante	autopropulsor
exemplificação	ilustração
consistência	estabilidade
aliançar-se	casar-se
abetumar	argamassar
marcação	balizagem
furo	orifício
envoltura	envolvimento
lésbica	mulher-homem
derrear-se	quebrar-se
duradoiro	durável
pincel	pintura
bagunça	desarranjo
virtude	hombridade
lavorar	trabalhar
propulsor	agente
desfazimento	dilaceração
convencionalismo	formalismo
corretivo	corretório
omissão	incúria
fundo	reentrante
revenerar	venerar
aduana	alfândega
sonífico	soporífero
técnica	maneira
aparecimento	eclosão
falaz	mentido
pingo	salpico
foco	núcleo
indomesticado	indômito
graduando	formando
desguedelhado	esguedelhado
sindicar	interrogar
ajuramentar	juramentar
florista	floreiro
resignar-se	encolher-se
condão	poder
imponderado	irrefletido
eterno	imperecedoiro
alteroso	assoberbado
esbambear	folgazar
sacrifício	imolação
proximamente	recentemente
antecessor	antepassado
debilitar-se	enfraquentar-se
sardento	sardoso
lactífago	lactívoro
apaulistar	apaulistanizar
lazão	alazão
amansamento	refreamento
frescor	viveza
conventículo	corrilho
profundura	proporção
imprimido	impresso
velar	zelar
murado	vedado
cuvilheiro	mexeriqueiro
bagaxa	mulher-da-vida
gelificar	gelifazer
perfídia	traição
vergado	dobrado
sobrevivente	supervivente
canceroso	carcinomatoso
inaturável	insuportável
chanfrado	biselado
desenroupar	desnudar
televisionar	televisar
altercação	bate-boca
furtadela	evasão
fiscalizador	fiscal
fragoso	penhascoso
jejuadeiro	jejuador
carena	querena
agressivamente	provocadoramente
agigantado	escomunal
candial	candil
reflexo	resposta
papelagem	papelada
ádipe	obesidade
sustação	talho
ilegitimar	invalidar
laquear	garrotear
gorgolejar	grogolejar
mal-agourado	mal-agoirado
otimismo	optimismo
marulho	murmulho
madurar	subtilizar
trígono	triangular
irresolvível	irresolúvel
talentaço	talentão
contrariedade	oposição
amolaxado	engruvinhado
estupeficador	estupeficante
certo	avençal
desgravidar	parir
amargar	provar
desoprimente	desopressor
terapista	terapeuta
gargantão	glutão
computado	contado
bical	bicudo
diversionismo	excursão
esbulhado	espoliado
bichento	cambado
espigão	ferrão
petintal	calafate
respançamento	respançadura
achacadiço	enfermiço
desamistar-se	malquistar-se
tijolaria	olaria
rebelde	revoltoso
doidice	irreflexão
enroxecido	enroxado
isotermo	homotermal
valorosidade	vigor
fundamental	primordial
compasso	ritmo
buzinada	cornetada
engatinhar	gatear
fiscal	fiscalizador
moedela	sapeca
deleitante	deleitável
invalidado	revogado
gritado	exclamado
perlavar	purificar
remordimento	remorso
adequabilidade	condignidade
substância	valorosidade
pluma	plumeiro
desflorador	deflorador
burro	lorpa
caso	episódio
tramóia	trica
bardo	vedação
prologar	preludiar
bainhar	bordar
enxame	pelotão
prover	refazer
lacuna	lapso
estouro	trovejar
sobrearco	torçado
insanabilidade	irremediabilidade
sobressaltear-se	sobressaltar-se
desgadelhar	emaranhar
apartar-se	fugir
tímido	vergonhoso
umbrófilo	ciáfilo
doceiro	alfeloeiro
hospedador	hospedeiro
desrevestir-se	esfazer-se
trapacento	tuno
tratear	supliciar
hidrofráctico	hidrofrático
bocejar	oscitar
grandiosidade	imponência
desodorante	desodorizante
brizomântico	oniromântico
discordado	divergido
esturrar	rugir
borrador	borrão
trasladado	vertido
engolfar-se	meter-se
morredouro	perecível
queijeiro	queijadeiro
enfrouxecido	enfroixecido
desarolhado	desrolhado
orvalhar	umidificar
pulso	tenência
aparecer	sair
doutrinal	instrutivo
rebocado	estucado
gentil	prazenteiro
restringente	restritivo
biriteiro	ébrio
comiserar-se	condoer-se
bebível	potável
enlanguescente	languescente
desengastar	desmontar
descalçar	tirar
ticket	tíquete
ingovernável	insubmisso
fontenário	fontinal
cristalogênico	cristalogenético
louçainho	loução
recolher-se	seqüestrar-se
despejo	impudor
hastear	tender
vitalizar-se	revitalizar-se
engravidar-se	embarrigar-se
galgar	vingar
apoleirar	empoleirar
costa-abaixo	descida
afumaçado	afumado
sombrio	sombroso
sátira	epigrama
padronizado	estandardizado
quartinha	moringa
tungador	opiniático
titubeamento	titubeação
obnubilar-se	obscurecer-se
avergoado	maltratado
corar-se	encafifar-se
martelamento	martelagem
correspondência	igualdade
traquinas	treloso
bem-criado	fino
migrativo	migratório
desprezado	omitido
curvar	dobrar
lacrimar	prantear
esquerda	sinistra
rabeira	viso
porcalhada	porqueira
armazém	mercearia
apostatar	arrenegar
orgulhoso	rompante
tisne	picumã
pudendo	pudico
aficionado	furioso
esfarelado	esfarinhado
clava	toco
labuzar	lambuçar
isento	neutral
afeito	treito
estólido	tolo
desinsofrimento	impaciência
optimista	otimista
alivioso	aliviante
empreiteiro	tarefeiro
evidente	transparente
democrático	popular
verdascar	vergastar
acalmar	retundir
farfalhoso	vistoso
sobressaltar	transpor
esplendor	fulgência
bracejador	bracejante
empacho	enfartamento
charneira	missagra
quadrarão	quarterão
freada	brecada
estuoso	febricitante
feiúra	fealdade
ornejo	zurrada
profundeza	proporções
ciganice	ciganaria
tapagem	valado
desvalorizado	envilecido
honorável	honroso
abestalhado	atroado
fígado	estômago
verruma	broca
escabroso	fragoso
abio	abiu
revisto	acertado
consuntivo	consumidor
deificador	divinizador
ensaio	tentativa
determinativo	determinador
isotérmico	isotermo
abundoso	produtivo
voante	volante
recrutar	engajar
muslim	maometano
librar	remontar
afilar	definhar
empapar	engrampar
constrição	pressão
nenho	tacanho
intoxicar	obsidiar
enublar	sombrear
papado	pontificado
anelado	anuliforme
cego	desorientado
motomecanização	motorização
licenciosidade	tripúdio
barro	argila
prefulgente	rebrilhante
insensato	malsisudo
despreparo	incompetência
criancice	puerilidade
emparceirado	unido
resumir	sumariar
baiuqueiro	taberneiro
execrando	odioso
femíneo	feminino
abceder	aporismar
madraço	zopeiro
fiar-se	ter-se
deter-se	plantar-se
apurar	procurar
ofiomórfico	ofiomorfo
archote	luzeiro
sobrenomear	alcunhar
isoclínico	isoclino
acetosidade	aziúme
astrífero	astrígero
estontear-se	estrovinhar-se
palinódia	retratação
nitrido	nitrir
aventureiro	perigoso
discorde	díssono
caraterizar	desencobrir
valores	religião
desparramar-se	espalhar-se
escorrego	resvalão
alameda	ambulacro
prezado	querido
corporalizar	materializar
jogata	jogatina
alúnico	alunífero
enfrutecer	frutescer
dejeto	fezes
alquebrado	debilitado
consumível	consuntível
atropelamento	entrechoque
torvar-se	zangar-se
turbulência	briga
truão	palhaço
desmobiliar	desmobilhar
zurzir	encostar
improvável	incerto
sambador	sambeiro
talabarte	talim
sachar	esmondar
tecnicalidade	tecnicidade
estômago	fígado
remelão	remeloso
requietude	tranqüilidade
ajuizar-se	crer-se
adelgaçar-se	emagrentar-se
pilhador	saqueador
sóbole	progenitura
atavio	recamo
tricromático	tricolor
desponta	surgimento
enfaixar	faixar
folgaz	galhofeiro
capela-ardente	capela-mortuária
curimbó	tambaque
mucamba	camba
tribunado	tribunato
enlear	enredar
padronizar-se	uniformizar-se
minudente	pormenorizado
gladiar	questionar
quintal	terreiro
despautério	despropósito
despentear	esgadelhar
enfiar-se	imitir-se
defensão	resguardo
diversório	prazer
ralhação	ralho
coacto	invito
afainar-se	azafamar-se
ligado	unido
poltrão	pusilânime
aumentado	dilatado
perspéctico	perspetivo
rançoso	sarnento
incompatível	inconciliável
embolorecer	mofar
cercilhado	tonsurado
embodegado	lixento
hidrófilo	hidrofílico
privilégio	vantagem
reclame	reclamo
nódulo	calombo
mênstruo	veículo
comoso	frondente
afastamento	apartada
pederneira	pedra-de-fogo
alevantar-se	pronunciar-se
dissecação	dissecção
esborrar	transbordar
isenção	limpeza
acolhida	agasalho
descostume	desuso
ilíquido	ilíqüido
intrigar-se	malquistar-se
preitejar	preitear
inibitivo	inibitório
careteiro	mogangueiro
acrobatismo	equilibrismo
desemprenhar	desprenhar
oirar	oirejar
relatividade	relativismo
vínculo	gravame
atropelante	atropelador
irrecorribilidade	inapelabilidade
esbandulhado	esbarrigado
estonteante	tonteante
acérrimo	teimoso
miséria	sovinice
infernar	tempestear
voleibolista	volibolista
ebúrneo	ebóreo
espaçador	distanciador
surpresar-se	pasmar-se
basear-se	estear-se
proêmio	prólogo
penálogo	penalogista
ablactado	exúbere
triaga	teriaga
cultivo	cultura
cálix	taça
frouxura	lassidão
adulto	crescido
manjadoira	manjedoura
sapateta	chinelo
embruscar	melindrar
comover	desencruar
conjecturante	conjeturante
cheiroso	olorado
negro	tenebroso
virologista	virólogo
misticidade	espiritualidade
abalroar	contender
retorcido	retorto
revolto	revolvido
aurifúlgido	aurisplendente
calibre	calibrador
acusar-se	delatar-se
soçobrar	variar
encomendação	recomendação
achichelado	achinelado
discipulado	tirocínio
façudo	pantafaçudo
içar-se	levantar-se
encetar	iniciar
sumarizar	compendiar
botar-se	desembestar-se
infetado	contaminado
decapitar	decepar
toxicomaníaco	toxicômano
imperativo	peremptório
ancianidade	velhice
contorcista	contorcionista
incomodar	torrar
fracionar-se	fragmentar-se
nauseante	nauseoso
ulissiponense	lisboeta
juramentado	ajuramentado
coercibilidade	repreensibilidade
atravessador	monopolizador
apanhar-se	localizar-se
mênade	tíade
trapezoidal	trapezóide
debuxo	risco
afrodisíaco	afrodíseo
estrafego	retalhação
escrituras	bíblia
severo	inclemente
campina	prado
embatumar	preencher
vão	vazio
multiforme	protéico
lacunosidade	incompletude
encaminhado	guiado
amesquinhador	apoucador
conciso	condensado
ineficácia	ineficiência
topar	encarar
resplendência	rutilância
vulcanizar	exaltar
falecimento	finamento
jacto	jato
tuíste	twist
contentamento	riso
tribo	grupo
eqüipendência	eqüiponderância
remidor	resgatador
acertado	revisto
apiedar	condoer
policitante	proponente
televisionado	televisado
lena	mexeriqueira
adunar	conglobar
moído	pregado
fulgor	rutilação
dionisíaco	dionísico
baralhar-se	entremisturar-se
bailarina	saltatriz
lacticinoso	láteo
raleira	vão
autopunição	autoflagelação
cabaça	porongo
cacho	caracol
dessujar	limpar
asceticismo	ascetismo
nosocomial	nosocômico
tzaréviche	czaréviche
revolução	revolvimento
abanação	tremor
fortalecer	oxigenar
irreparabilidade	incorrigibilidade
untura	unto
rompente	soberbo
judicioso	sentencioso
punhado	mancheia
tocheiro	tocheira
contaminação	estrago
lograr-se	embaciar-se
sujeito	treito
balouçado	embalado
magistralidade	genialidade
confidenciar	segredar
arrufado	hirto
infindável	permanente
enxergar-se	perceber-se
firmado	fixo
oirejar	ourar
esculento	nutrício
nosocômio	hospital
vitualhas	víveres
menecma	retrato
despeçar	moer
rosear	tauxiar
insensatez	loucura
comitiva	cortejo
baluarte	bastião
polichinelo	truão
armífero	armígero
fustigante	fustigador
sulcar	transpor
refutado	desdito
abdal	abedale
torpor	fraqueza
desabar	implodir
apascentado	comido
superposição	sobreposição
borbulhagem	espumarada
apoucamento	desvalorização
desmedidamente	imensamente
islâmico	islamítico
mascarar	rebuçar
bulbar	bulboso
resignação	sujeição
adjetivação	adjetivamento
meninada	pirralhada
ruidoso	triunfante
binar	biscantar
charlatanesco	charlatânico
amarfanhar-se	amassar
escorrimento	escoamento
amedrontar-se	estremecer-se
converso	convertido
rotineiro	sólito
sobreintendente	sobrestante
galonar	louvar
sucinto	sumário
viandante	viandeiro
bailador	bailante
antidemocrático	demóboro
arenáceo	arenoso
tabuado	tabulado
desinquieto	intranqüilo
usado	usual
positivo	VERDADEIRO
computação	contagem
lobrigar	vislumbrar
consorte	parceiro
inconcebível	inconceptível
parcimoniosamente	parcamente
indecoro	indecência
degredado	refugiado
estramalhado	fugido
ensombrar-se	entristecer-se
desenegrecer	iluminar
perfilhar	seguir
apertar	sotrancar
fabricante	feitor
dejua	desjejua
sobreexcitante	superexcitante
zoadeiro	zoadeira
desencravilhar	desentalar
engrossamento	espessamento
fragorar	ressonar
menção	referimento
logorréia	verbiagem
confusamente	desordenadamente
bem-ajambrado	bem-arranjado
apercebido	providente
fluminense	fluviano
afluir	refluir
ser	suscitar
atraiçoar	malsinar
soerguer	sofraldar
desenvencilhar	desvincilhar
sirgueiro	serigueiro
desfrute	moca
descadeirado	espancado
andaimaria	andaimada
favorecimento	fomento
desconvir	discordar
efetuado	satisfeito
desatolado	desatascado
abáculo	alguergue
talhamento	talhadura
aneloso	arquejante
virente	viridente
pausado	vagaroso
sortir	suprir
descanhotar-se	desunir-se
molície	molúria
escudar-se	fundamentar-se
despiedado	imisericordioso
preso	seguro
enfuriado	sanhudo
alindamento	embelezamento
prejuízo	desproveito
esdrúxulo	extravagante
genuflexão	ajoelhação
xadrezado	xadrez
execrado	odiado
avigorar	potencializar
cairel	debrum
engraçado	facecioso
desaproximar	despegar
escangalhar	esculhambar
desencrespar-se	deslisar-se
desacorçoamento	desacoroçoamento
matação	matança
destrinçar	particularizar
esbaralhado	embaralhado
regenerar-se	renascer
chanfro	talha
intencionalmente	propositalmente
minador	minadouro
espaçoso	grande
sexologista	sexólogo
aperaltar-se	peralvilhar-se
socalcar	suplantar
variegado	versicolor
rumo	sentido
calcifílico	calcífilo
largar	torar
averdengado	verdeal
cotidianidade	unissonância
remir	restituir
parvulez	puerilidade
galharia	ramagem
mensurável	dimensível
ininterrompido	porfioso
garimpar	minerar
acolhimento	guarida
fosfóreo	fosfórico
constelado	estrelado
vigilante	zeloso
apaziguamento	harmonia
esmoler	caritativo
esfregão	esfregalho
estomagar	melindrar
conflito	embate
inviolável	sagrado
esquiva	evasão
adelgaçar	engoiar-se
radicado	inveterado
vaporífero	vaporoso
respondência	trato
tragadouro	voragem
escabrosidade	fragosidade
monja	professa
torpidade	torpitude
exagero	extremo
espaçonave	cosmonave
imprescindibilidade	necessidade
estroncar	exarticular
bimestral	bimestre
aligeirado	dulcificado
largura	vastidão
indômito	soberbo
indissociabilidade	irredutibilidade
pivô	promotor
ocultar	sonegar
apegadiço	comunicativo
sequaz	sócio
vovó	avó
mentiraria	petalhada
esperado	provável
desdito	refutado
datilar	dactilar
titilação	titilamento
transubstanciar-se	trocar-se
rapazio	rapaziada
engrolado	tapeado
esterilecer	inutilizar
zoom	zum
carcaça	medusa
assalto	repelão
abstêmio	sóbrio
enfardelar	entroixar
colocado	posto
subtilizar-se	sutilizar-se
sovinamente	avaramente
alcunha	antonomásia
laudatício	panegírico
bedelho	rapazete
condenador	condenatório
derreter	desvaecer
arquear-se	curvar-se
má-formação	malformação
coletânea	copilação
incivil	mal-ensinado
calvejar	descalvar
flexuosidade	rodeio
transudação	transpiração
libertado	salvo
inferior	subalterno
afirmativo	assertório
fuxicar	onzenar
vivífico	vivificativo
numerar	relatar
meticulosidade	minuciosidade
seisdobro	sêxtuplo
surucar	arruir
beneficiamento	melhoramento
envolver	reprimir
arranjador	orquestrador
aperreação	raladura
resolvido	solucionado
confundir	obscurecer
fomento	sustento
femeal	fêmeo
observatório	mirante
bancarrotear	falir
trovoso	trovejante
sorongo	tarouco
vinho	vinolência
bruxulear	estrelar
escarnecedor	irônico
cooperante	cooperador
deslizador	deslizante
permutação	troca
pregoar	proclamar
escanelado	escanifrado
subalternizar	subalternar
pertencente	pertinente
anterior	precedente
emigração	êxodo
protetorado	colônia
refutação	réplica
congestionar	entupir
cândi	cande
trépido	espaventado
primórdio	princípio
particularização	pormenorização
circunspecto	cuidadoso
desenbruxar-se	desencantar-se
extraordinário	invulgar
alveitar	rezador
dividir-se	partir-se
mentiroso	potoqueiro
estenderete	fora
aléia	ambulacro
docência	ensino
roda	rodeta
fossilização	retraso
obrar	tramar
leiteria	leitaria
barriga	saliência
eqüidade	igualdade
brunidor	lustrador
zanago	zerê
espora	butuca
intumescer-se	tumefazer-se
semi-sono	sonolência
angüiliforme	angüilar
brotado	abrolhado
fola	marulho
atacabilidade	destrutibilidade
baquetear	tamborilar
contrastar	opor
tabuleta	letreiro
descortinar-se	patentear-se
inveja	ciúme
desasado	escadeirado
trepidante	vacilante
campo	plantio
idouro	idoiro
enfrascar-se	melar-se
tamborino	tamboril
perseverante	persistente
vampirizar	vampirar
adulterar-se	perverter-se
aquentamento	esquentação
desaguar-se	verter-se
algozaria	selvageria
animatografar	cinematografar
imortalidade	sempiternidade
verbena	arraial
plaquete	plaqueta
garrancho	rabisco
psiquiatrista	psiquiatro
pieira	rala
pitote	pericote
erradicação	extirpação
comentário	nota
zumbo	zunido
rodeante	rodeador
revigoramento	revitalização
estalante	estalejante
amistoso	conciliativo
apoquentador	atormentador
vermelhusco	avermelhado
masculinizar-se	amachorrar-se
cisterna	poço
avícola	avicultor
desajudar	empacar
limitação	restrição
despedamento	esmigalhamento
caixa-pregos	calcanhar-de-judas
humanar	transumanar
realocação	redistribuição
honra	pundonor
desatado	esparso
frangibilidade	friabilidade
noduloso	nodulífero
queijeira	queijaria
abeberado	alagado
flâmula	galhardete
garras	unha
almocreve	arreador
reproduzível	reprodutível
preeminente	proeminente
esquinado	anguloso
roscado	rosqueado
atravessadouro	travessa
desvitalização	esgotamento
cascaburrento	rugoso
pernoite	pouso
batucar	martelar
ver-se	rever-se
encovardar-se	esterrecer-se
lubrificar	olear
infausto	infeliz
rutilante	estrelante
socorrer-se	valer-se
evangelização	cristianização
celagem	rosicler
higiênico	limpo
apapoular	apapoilar
exicial	nocivo
perspectivo	perspético
calafetar	cimentar
desaprendido	desensinado
debicar	sotaquear
tolerante	transigente
viramento	virada
sensabor	dissaborado
mezinhar	amezinhar
vincular	sujeitar
replicação	volta
semiologista	semiólogo
desprezador	menosprezador
mungida	ordenhação
amargura	desgosto
semimaluco	semilouco
quiroscopia	quiromancia
banhar-se	lavar-se
médico-legista	legista
pedreguento	pedrento
aluminífero	alúnico
encovar-se	enlapar-se
amofinativo	amofinador
lanceiforme	lanciforme
espetalar	despetalar
engrumar	engrumescer
prudente	sensato
salto	catadupa
responder	revidar
mescla	miscelânea
bochornal	calmo
ganância	ganhos
impugnativo	impugnatório
central	essencial
acoimável	coimável
compressor	comprimente
galicófobo	galófobo
afogativo	bochornal
cariciável	suave
babujado	bajulado
ortografar	grafar
enciumado	zeloso
expatriar-se	isolar-se
mata	selva
aplaudível	aplausível
recacho	rudeza
linguajar	parlar
ourelo	tira
penacho	pluma
esbombardear	bombardar
rouquido	rouquice
céu	firmamento
posteação	posteamento
transfixar	travessar
aldeamento	povoamento
sortir-se	revestir-se
inclinação	proclividade
destreza	indústria
afressurado	apressado
arregalar	escancelar
rusografia	rurografia
gana	voracidade
canhoneio	fuzilaria
pedrês	pedrado
circunlóquio	rodeio
safadeza	safadice
espigado	graúdo
incutir	infundir
escoliador	escoliasta
sensaboria	dissabor
imutar-se	transfigurar-se
diário	efemérides
menstruação	mênstruo
acourelamento	acoirelamento
envolvimento	sedução
flechar	machucar
expetorar	gosmar
metodicamente	ordenadamente
colante	justo
etiqueta	praxe
refutatório	refutativo
secionamento	seccionamento
perfectibilidade	indefectibilidade
fretenir	zangarrear
afiambrar-se	casquilhar-se
obsediar	rascar
festonar	grinaldar
peia	vergueiro
trugimão	turgimão
encharcar-se	repassar-se
aquilombar	amocar
autopromover-se	promover-se
ressonadela	ronca
invariabilidade	mesmice
despedir	rutilar
genufletor	genuflector
betar	marchetar
bravura	resolução
juvenilidade	juventude
encalhar	esbarrar
contratante	empregador
murmurinho	rumorejo
erosivo	erodente
carmelita	carmelitano
citadino	cidadesco
defensora	tutora
adepto	prosélito
ramudo	ramoso
sobrado	tabulado
metido	xereta
teimosice	voluntariedade
vidalita	vidala
aninhar-se	encafurnar-se
cubiforme	cubóide
engatado	unido
adunco	cambudo
areão	areal
tábula	távola
possante	vigoroso
marimacho	virago
descolorir	desmaecer
facionário	faccionário
retificativo	retificador
constituído	feito
engarrafar	entupir
fossa	fosso
pugnador	pugnaz
mazelento	mazelado
entrelaçar-se	tecer-se
recortar-se	salientar-se
assemelhar-se	assimilhar
alectoromântico	alectriomântico
terrulento	terreno
protrair-se	prorrogar-se
miserar	infortunar
determinante	determinativo
agilíssimo	agílimo
taloneiro	bloquista
divinização	teose
aridez	aspereza
semi-erguer-se	semilevantar-se
verdura	hortaliça
alardar-se	campar
vovô	vô
penca	porção
empoleirado	encarrapitado
excreto	fezes
sistemático	sistêmico
aresta	esquina
redouça	retoiça
octangular	octógono
romancear	romantizar
corporatura	vulto
acravar-se	espetar-se
